City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,1.9,82,31,4.77,GS,1684884027
1,yellowknife,62.456,-114.3525,17.29,29,75,6.71,CA,1684884011
2,waitangi,-43.9535,-176.5597,12.68,95,2,1.79,NZ,1684884013
3,udachny,66.4167,112.4,3.03,74,59,5.53,RU,1684884278
4,talnakh,69.4865,88.3972,-0.44,95,62,4.46,RU,1684884279
5,west island,-12.1568,96.8225,26.99,83,19,2.06,CC,1684884042
6,invercargill,-46.4,168.35,8.97,70,68,4.15,NZ,1684884281
7,thompson,55.7435,-97.8558,13.09,38,75,3.09,CA,1684884281
8,kani keli,-12.9536,45.1033,25.59,63,12,5.7,YT,1684884282
9,churapcha,62.0025,132.4325,6.66,55,40,2.28,RU,1684884282
10,georgetown,5.4112,100.3354,28.96,82,20,1.03,MY,1684884283
11,mariental,-24.6333,17.9667,18.35,28,0,2.14,NA,1684884148
12,clinton,42.587,-82.9199,26.73,51,75,4.12,US,1684884284
13,anadyr,64.75,177.4833,4.28,69,75,5.0,RU,1684884284
14,tazovsky,67.4667,78.7,-0.4,89,29,2.99,RU,1684884285
15,adamstown,-25.066,-130.1015,24.8,87,75,13.48,PN,1684884286
16,santa maria del oro,25.9333,-105.3667,30.31,14,81,3.37,MX,1684884286
17,lushun,38.8,121.2667,20.12,63,100,3.02,CN,1684884287
18,port-aux-francais,-49.35,70.2167,7.87,98,100,13.15,TF,1684884016
19,albany,42.6001,-73.9662,22.57,54,26,1.34,US,1684884252
20,north bay,46.3168,-79.4663,21.01,55,75,6.69,CA,1684884288
21,bilibino,68.0546,166.4372,7.63,52,60,1.77,RU,1684884289
22,blackmans bay,-43.0167,147.3167,13.62,73,60,2.49,AU,1684884289
23,selfoss,63.9331,-20.9971,3.91,71,99,16.07,IS,1684884290
24,ribeira grande,38.5167,-28.7,16.54,85,13,4.47,PT,1684884291
25,boumagueur,35.5052,5.5525,18.69,62,81,4.34,DZ,1684884292
26,barghat,22.0333,79.7167,32.26,25,91,4.33,IN,1684884293
27,lebu,-37.6167,-73.65,12.04,75,33,7.99,CL,1684884293
